Code,Sup_Code,Name
FIFA,,International Association Football Federation
AFC,FIFA,Asian Football Confederation
CAF,FIFA,Confederation of African Football
CONCACAF,FIFA,Confederation of North - Central America - and Caribbean Association Football
CONMEBOL,FIFA,South American Football Confederation
OFC,FIFA,Oceania Football Confederation
UEFA,FIFA,Union of European Football Associations
AFF,AFC,ASEAN Football Federation
CAFA,AFC,Central Asian Football Association
EAFF,AFC,East Asian Football Federation
SAFF,AFC,South Asian Football Federation
WAFF,AFC,West Asian Football Federation
CECAFA,CAF,Council for East and Central Africa Football Associations
COSAFA,CAF,Council of Southern Africa Football Associations
UNAF,CAF,Union of North African Federations
UNIFFAC,CAF,Union des Fédérations du Football de l'Afrique Centrale
WAFU,CAF,West African Football Union
CFU,CONCACAF,Carribean Football Union
NAFU,CONCACAF,North American Football Union
UNCAF,CONCACAF,Union Centroamericana de Fútbol