Type_ID,Org_Code,Name
AFCQ,AFC,Asian Cup
AFCC,AFC,Challenge Cup
AFCS,AFC,Solidarity Cup
AFFME,AFF,Mitsubishi Electric Cup
AFFS,AFF,Suzuki Cup
CAFQ,CAF,Africa Cup of Nations
CAFAQ,CAFA,Central Asian Nations Cup
CECAFAQ,CECAFA,East and Central African Championship
CFUQ,CFU,Caribbean Championship
CONCACAFQ,CONCACAF,Gold Cup
CONMEBOLQ,CONMEBOL,Copa América
COSAFAQ,COSAFA,Council of Southern Africa Cup
EAFFQ,EAFF,East Asian Championship
FIFAWC,FIFA,World Cup
PGQ,UNCAF,Panamerican Games
OFCQ,OFC,Oceania Nations Cup
SAFFQ,SAFF,South Asian Football Federation Cup
UEFAQ,UEFA,European Championship
NAC,UNAF,North African Cup
UNAFQ,UNAF,Union of North African Club Cup
UNCAFQ,UNCAF,Copa Centroamericana
CEMACQ,UNIFFAC,Coupe de la Communauté Economique et Monétaire de l'Afrique Centrale
WAFFQ,WAFF,Gulf Cup
WAFUQ,WAFU,West African Nations Cup